categories,description,price
"Sweets","Haribo Tropi Frutti Fruit Gums 100 GR","R
                18
                
                    99"
"Sauces & Condiments","Old El Paso Chunky Salsa Original Mild 2...","R
                41
                
                    99"
"Beef","PnP Butchery Beef Kebabs","R
                74
                
                    99
                     (per kg)"
"Spices & Seasoning","Robertsons Ground CorianderBottle 100ml","R
                26
                
                    99"
"Canned Vegetables","Koo Creamstyle Sweetcorn 415GR x12","R
                118
                
                    80"
"Bread","Albany Superior Superior White Low Gi Br...","R
                16
                
                    99"
"Pizza","Pnp Spicy Chicken Pizza","R
                55
                
                    00"
"Frozen Fish","Budget Battered Hake Portion","R
                68
                
                    99
                     (per kg)"
"Canned Fish","Lucky Star Pilchards In Tomato Sauce 155...","R
                232
                
                    99"
"Eggs","No Name Large Eggs 30ea","R
                49
                
                    95"
"Pickles And Salads","Pick N Pay Sliced Beetroot 780g","R
                21
                
                    99"
"Prepacked Meats","Enterprise Russians 375g","R
                31
                
                    99"
"Mineral Water","Aquelle Still Mineral Water500 ML","R
                3
                
                    99"
"Jams & Sandwich Spreads","PnP Duo Chocolate Hazelnut Spread 400g","R
                26
                
                    99"
"Continental Bread","Austrian Rye Bread 400g","R
                21
                
                    99"
"Desserts","PnP Strawberry Jelly And Custard 120g","R
                8
                
                    00"
"Lamb and Mutton","PnP Butchery Lamb Flank","R
                99
                
                    99
                     (per kg)"
"Carbonated Soft Drinks","PnP Cola Can 330ml","R
                6
                
                    99"
"Maize","PnP Super Maize Meal 5 KG x4","R
                205
                
                    99"
"Sugar & Sweeteners","PnP Brown Sugar 1kg x25","R
                387
                
                    99"
"Baking Aids","Anchor Yeast Instant Dry Yeast 10g","R
                3
                
                    89"
"Desserts","Pnp Caramel Peppermint Pudding 430g","R
                54
                
                    00"
"Cheese Bar","Clover Tussers Vacuum Packed 240g","R
                41
                
                    50"
"Long Life UHT Milk","Almond Breeze Milk Unsweetened 250ml","R
                9
                
                    99"
"Cordials & Squashes","PnP Berry And Apple Squash 1 Litre","R
                15
                
                    99"
"Jams & Sandwich Spreads","PnP Crunch Peanut Butter 800g x12","R
                535
                
                    49"
"Sports And Energy Drinks","PnP Fruit Cocktail Flavour Drink 300ml x...","R
                39
                
                    99"
"Pork","PnP Butchery Boneless Pork Chops","R
                99
                
                    99
                     (per kg)"
"Frozen Meals","Fry's Meat Free Schnitzel 320g","R
                25
                
                    90"
"Milk Flavourants","PnP Milk Modifier Caramel Fudge 500 GR","R
                33
                
                    99"
"Pasta","Maggi 2 Min Beef Noodles 73GR","R
                3
                
                    90"
"Biscuits","Bakers Blue Label Marie Biscuits 200g","R
                9
                
                    49"
"Frozen Meat","No Name IQF Pork Banger 1.5KG","R
                65
                
                    99"
"Beef","PnP Butchery Beef Neck","R
                67
                
                    99
                     (per kg)"
"Dried Vegetables","No Name Popcorn 500g","R
                11
                
                    99"
"Sauces and Pates","Mediterranean Hummus Dip LowFat 190g","R
                23
                
                    00"
"Cordials & Squashes","Brookes Oros Orange Squash 2L x6","R
                149
                
                    00"
"Mineral Water","Glaceau Vitman Flavoured WatEr Revive 50...","R
                15
                
                    29"
"Fresh Milk","Pnp Full Cream Fresh Milk 2 Litre","R
                22
                
                    90"
"Carbonated Fruit Juice","Ceres Sparkling 100% White Grape Juice27...","R
                11
                
                    69"
"Salads","Deli Salad PnP Hot Mango Atchar","R
                95
                
                    50
                     (per kg)"
"Frozen Fish","Arctic Frost Bermudas 840g","R
                79
                
                    99"
"Long Life UHT Milk","PnP UHT Fat Free Milk 1 Litre","R
                11
                
                    99"
"Milk Flavourants","Cadbury Original Hot Chocolate 250g","R
                32
                
                    99"
"Frozen Meat","Eskort Marinated Loin Rib 750 GR","R
                107
                
                    00"
"Sports And Energy Drinks","PnP Berry Flavoured Fruit Drink 300ml x6","R
                39
                
                    99"
"Eggs","PnP Allgain Large Eggs 6ea","R
                15
                
                    99"
"Fruit","PnP Litchis Loose Sell","R
                39
                
                    99
                     (per kg)"
"Sweets","PnP Frosted Jellies Tub 500gr","R
                59
                
                    99"
"Sports And Energy Drinks","PnP Naartjie Flavoured Drink 300ml x6","R
                39
                
                    99"
"Dairy By Products","PnP Full Cream Maas 4 L x4","R
                178
                
                    49"
"Margarine-Fat-And Butter","PnP Salted Butter 500g","R
                42
                
                    95"
"Convenience Meals","PnP Egg Mayo and Bacon Sandwich","R
                29
                
                    00"
"Continental Bread","Seeded Rye Breasd 400g","R
                18
                
                    99"
"Salads","Kosher Deli PnP Feigels Pickled Herring","R
                126
                
                    00
                     (per kg)"
"Frozen Poultry","PnP Butchery Smoked TurkeyDrumsticks","R
                69
                
                    99"
"Frozen Vegetables","PnP Roasting Vegetable Mix 1kg","R
                28
                
                    99"
"Salads","Kosher Deli PnP Feigel Kosher Beetroot","R
                67
                
                    50
                     (per kg)"
"Baking Ingredients","Golden Cloud Cake Flour 1kg","R
                11
                
                    79"
"Prepacked Meats","Enterprise Lifestyle BackBacon 200g","R
                32
                
                    99"
"Spices & Seasoning","Robertsons Barbeque Spice Refill 128g x5","R
                160
                
                    49"
"Iced Tea and Coffee","PnP Concentrate Ice Tea Apple 1 Litre","R
                28
                
                    49"
"Sugar & Sweeteners","PnP Brown Sugar 1kg","R
                15
                
                    99"
"Chilled Fish","PnP Mackerel Peppered","R
                238
                
                    99
                     (per kg)"
"Confectionery","PnP Frozen Waffles 6ea","R
                39
                
                    90"
"Chocolates","Nestle Aero Milk Choc 40gr","R
                7
                
                    99"
"Sweets","Haribo Happy Cola Fruit Gums100 GR","R
                18
                
                    99"
"Ice Cream","Alpine Fruiti Flow Lollies Natural 5ea","R
                10
                
                    99"
"Bread","Bakery Pnp Babka 400g","R
                16
                
                    99"
"Concentrated Fruit Juice","PnP Nectar Concentrate FruitPunch 2 Litr...","R
                50
                
                    49"
"Biltong","PnP Beef Droewors 400g","R
                79
                
                    99"
"Cordials & Squashes","PnP Fruitcocktail Squash 2 Litre","R
                31
                
                    99"
"Dairy By Products","PnP Full Cream Maas 4 L x2","R
                89
                
                    49"
"Jelly Pudding & Custard","PnP Green Gage Jelly 80g","R
                4
                
                    99"
"Ice Cream","Ola Rich'n Cream Chocolate Ice Cream...","R
                49
                
                    99"
"Breakfast Cereals","Kellogg's Rice Krispies 600g","R
                47
                
                    49"
"Baking Ingredients","Eureka Premium C Flour 2.5kg","R
                38
                
                    99"
"Cheese Bar","Bel Laughing Cow Wedges Light 120 GR","R
                22
                
                    00"
